lexeme_id,POS,frequency,frequency_Antiquitas,frequency_AetasPatrum,frequency_MediumAeuum,frequency_RecentiorLatinitas
assero2_v,verb,11223,69,4258,6215,681
asseruo_v,verb,124,1,36,72,15
asseuero_v,verb,760,9,321,386,44
assicco_v,verb,7,6,0,1,0
assideo_v,verb,827,66,117,600,44
assido_v,verb,723,60,94,538,31
assigno_v,verb,9670,179,1438,7539,514
assilio_v,verb,244,7,17,213,7
assimulo_v,verb,226,14,39,167,6
assisto_v,verb,5249,112,628,4356,153
assoleo_v,verb,262,4,69,189,0
assono_v,verb,10,0,8,2,0
assuefacio_v,verb,446,3,63,330,50
assuesco_v,verb,2391,138,366,1605,282
assulto_v,verb,25,0,7,18,0
assum_n,noun,821,143,238,416,24
assumo_v,verb,31761,180,6022,24848,711
assurgo_v,verb,1069,26,271,707,65
asto_v,verb,3647,263,468,2883,33
astrepo_v,verb,3,1,0,2,0
astringo_v,verb,1958,206,436,1242,74
astrum_n,noun,5528,1517,1620,2166,225
astruo_v,verb,1804,1,468,1308,27
astupeo_v,verb,2,2,0,0,0
attempero_v,verb,51,6,3,7,35
attempto_v,verb,484,23,108,353,0
attendo_v,verb,21914,487,3488,15971,1968
attenuo_v,verb,1015,116,193,568,138
attero_v,verb,2386,307,614,1380,85
attexo_v,verb,66,2,20,32,12
attineo_v,verb,3612,538,612,1598,864
attingo_v,verb,6733,872,949,4538,374
attollo_v,verb,2541,690,569,999,283
attondeo_v,verb,186,40,48,88,10
attono_v,verb,2513,1016,518,932,47
attraho_v,verb,2865,86,397,2061,321
attrecto_v,verb,340,21,52,257,10
attribuo_v,verb,14821,393,1195,8796,4437
auaritia_n,noun,14883,1190,5070,8456,167
auctito_v,verb,3,1,2,0,0
aucto_v,verb,4539,851,1633,1946,109
auctor_n,noun,21513,4331,8950,7820,412
auctoritas_n,noun,24488,2307,7068,14622,491
aucupor/-o_v,verb,541,117,219,183,22
audacia_n,noun,5708,1350,1799,2450,109
audeo_v,verb,21322,4630,8466,7877,349
audio_v,verb,151329,10267,61248,78166,1648
aueho_v,verb,190,139,26,13,12
auello_v,verb,1866,332,597,843,94
aueo_v,verb,3045,462,684,1843,56
auersor_v,verb,696,146,394,81,75
auerto_v,verb,12442,2293,5019,4895,235
aufero_v,verb,31399,2277,13713,14845,564
augeo_v,verb,15219,3123,5073,5798,1225
augesco_v,verb,929,274,351,260,44
auguro/-or_v,verb,619,294,171,144,10
auis_n,noun,11969,2128,4105,5481,255
aula_n,noun,3316,582,1283,1347,104
auoco_v,verb,677,235,302,104,36
auolo_v,verb,546,33,177,333,3
aura_n,noun,7743,1991,2480,3109,163
auris_n,noun,27460,3792,11304,11868,496
aurum_n,noun,34000,4954,13601,14804,641
ausculto_v,verb,1287,195,421,566,105
auspicium_n,noun,2188,1189,559,423,17
auspicor/-o_v,verb,816,454,224,99,39
auster_n,noun,4199,695,1574,1852,78
