cell_underspecified	cells
prf.pass.ptcp.nom.m/n.pl	prf.pass.ptcp.nom.m.pl,prf.pass.ptcp.nom.n.pl
fut.act.ptcp.gen.m/n.sg	fut.act.ptcp.gen.m.sg,fut.act.ptcp.gen.n.sg
fut.act.ptcp.dat.f/m/n.pl	fut.act.ptcp.dat.f.pl,fut.act.ptcp.dat.m.pl,fut.act.ptcp.dat.n.pl
fut.act.ptcp.abl.m/n.sg	fut.act.ptcp.abl.m.sg,fut.act.ptcp.abl.n.sg
prf.pass.ptcp.gen.m/n.sg	prf.pass.ptcp.gen.m.sg,prf.pass.ptcp.gen.n.sg
fut.act.ptcp.abl.m/n.sg	fut.act.ptcp.abl.m.sg,fut.act.ptcp.abl.n.sg
gdv.dat.m/n.sg	gdv.dat.m.sg,gdv.dat.n.sg
gdv.gen.m/n.pl	gdv.gen.m.pl,gdv.gen.n.pl
gdv.dat.m/n.sg	gdv.dat.m.sg,gdv.dat.n.sg
fut.act.ptcp.dat.f/m/n.pl	fut.act.ptcp.dat.f.pl,fut.act.ptcp.dat.m.pl,fut.act.ptcp.dat.n.pl
prf.pass.ptcp.dat.f/m/n.pl	prf.pass.ptcp.dat.f.pl,prf.pass.ptcp.dat.m.pl,prf.pass.ptcp.dat.n.pl
fut.act.ptcp.abl.m/n.sg	fut.act.ptcp.abl.m.sg,fut.act.ptcp.abl.n.sg
prf.pass.ptcp.abl.f/m/n.sg	prf.pass.ptcp.abl.f.sg,prf.pass.ptcp.abl.m.sg,prf.pass.ptcp.abl.n.sg
dat.f/m/n.pl	dat.f.pl,dat.m.pl,dat.n.pl
fut.act.ptcp.dat.f/m/n.pl	fut.act.ptcp.dat.f.pl,fut.act.ptcp.dat.m.pl,fut.act.ptcp.dat.n.pl
prs.act.ptcp.acc.f/m/n.pl	prs.act.ptcp.acc.f.pl,prs.act.ptcp.acc.m.pl,prs.act.ptcp.acc.n.pl
abl.f/m/n.pl	abl.f.pl,abl.m.pl,abl.n.pl
fut.act.ptcp.acc.m/n.sg	fut.act.ptcp.acc.m.sg,fut.act.ptcp.acc.n.sg
fut.act.ptcp.gen.m/n.sg	fut.act.ptcp.gen.m.sg,fut.act.ptcp.gen.n.sg
prs.act.ptcp.voc.f/m.pl	prs.act.ptcp.voc.f.pl,prs.act.ptcp.voc.m.pl
fut.act.ptcp.acc.m/n.sg	fut.act.ptcp.acc.m.sg,fut.act.ptcp.acc.n.sg
prf.pass.ptcp.acc.m/n	prf.pass.ptcp.acc.m,prf.pass.ptcp.acc.n
prf.pass.inf.acc.m/n.sg	prf.pass.inf.acc.m.sg,prf.pass.inf.acc.n.sg
fut.act.ptcp.acc.m/n.sg	fut.act.ptcp.acc.m.sg,fut.act.ptcp.acc.n.sg
prf.pass.ptcp.dat.m/n.sg	prf.pass.ptcp.dat.m.sg,prf.pass.ptcp.dat.n.sg
prf.pass.ptcp.nom.m/n.sg	prf.pass.ptcp.nom.m.sg,prf.pass.ptcp.nom.n.sg
gdv.abl.m/n.sg	gdv.abl.m.sg,gdv.abl.n.sg
gen.m/n.pl	gen.m.pl,gen.n.pl
gdv.gen.m/n.pl	gdv.gen.m.pl,gdv.gen.n.pl
fut.act.ptcp.dat.m/n.sg	fut.act.ptcp.dat.m.sg,fut.act.ptcp.dat.n.sg
prf.pass.ptcp.nom.m/n.pl	prf.pass.ptcp.nom.m.pl,prf.pass.ptcp.nom.n.pl
prs.act.ptcp.voc.f/m/n.sg	prs.act.ptcp.voc.f.sg,prs.act.ptcp.voc.m.sg,prs.act.ptcp.voc.n.sg
fut.act.ptcp.abl.f/m/n.pl	fut.act.ptcp.abl.f.pl,fut.act.ptcp.abl.m.pl,fut.act.ptcp.abl.n.pl
prf.pass.ptcp.acc.m/n	prf.pass.ptcp.acc.m,prf.pass.ptcp.acc.n
prf.pass.ptcp.acc.m/n.pl	prf.pass.ptcp.acc.m.pl,prf.pass.ptcp.acc.n.pl
prs.act.ptcp.acc.f/m/n.pl	prs.act.ptcp.acc.f.pl,prs.act.ptcp.acc.m.pl,prs.act.ptcp.acc.n.pl
fut.act.ptcp.acc.m/n.sg	fut.act.ptcp.acc.m.sg,fut.act.ptcp.acc.n.sg
prf.act.ptcp.abl.f/m/n.sg	prf.act.ptcp.abl.f.sg,prf.act.ptcp.abl.m.sg,prf.act.ptcp.abl.n.sg
gdv.dat.f/m/n.pl	gdv.dat.f.pl,gdv.dat.m.pl,gdv.dat.n.pl
fut.act.ptcp.abl.f/m/n.pl	fut.act.ptcp.abl.f.pl,fut.act.ptcp.abl.m.pl,fut.act.ptcp.abl.n.pl
prs.act.ptcp.f/m	prs.act.ptcp.f,prs.act.ptcp.m
fut.act.ptcp.dat.f/m/n.pl	fut.act.ptcp.dat.f.pl,fut.act.ptcp.dat.m.pl,fut.act.ptcp.dat.n.pl
gdv.dat.m/n.sg	gdv.dat.m.sg,gdv.dat.n.sg
prf.pass.ptcp.gen.m/n.pl	prf.pass.ptcp.gen.m.pl,prf.pass.ptcp.gen.n.pl
prs.act.ptcp.voc.f/m/n.sg	prs.act.ptcp.voc.f.sg,prs.act.ptcp.voc.m.sg,prs.act.ptcp.voc.n.sg
prs.act.ptcp.voc.f/m/n.sg	prs.act.ptcp.voc.f.sg,prs.act.ptcp.voc.m.sg,prs.act.ptcp.voc.n.sg
prf.pass.ptcp.nom.m/n.sg	prf.pass.ptcp.nom.m.sg,prf.pass.ptcp.nom.n.sg
prs.act.ptcp.voc.f/m.pl	prs.act.ptcp.voc.f.pl,prs.act.ptcp.voc.m.pl
fut.ptcp.abl.m/n.sg	fut.ptcp.abl.m.sg,fut.ptcp.abl.n.sg
prs.act.ptcp.f/m/n	prs.act.ptcp.f,prs.act.ptcp.m,prs.act.ptcp.n
prs.act.ptcp.voc.f/m/n.sg	prs.act.ptcp.voc.f.sg,prs.act.ptcp.voc.m.sg,prs.act.ptcp.voc.n.sg
prs.act.ptcp.acc.f/m/n.sg	prs.act.ptcp.acc.f.sg,prs.act.ptcp.acc.m.sg,prs.act.ptcp.acc.n.sg
fut.act.ptcp.gen.m/n.pl	fut.act.ptcp.gen.m.pl,fut.act.ptcp.gen.n.pl
fut.act.ptcp.abl.f/m/n.pl	fut.act.ptcp.abl.f.pl,fut.act.ptcp.abl.m.pl,fut.act.ptcp.abl.n.pl
