lexeme	systematicDefectiveness
stipendium	none
stipes	none
stirps	none
strages	none
strepitus	none
studium	none
stuprum	none
subsidium	none
sudor	none
sulcus	none
summa	none
superbia	none
superstitio	none
supplicium	none
suspicio	none
tabella	none
tabernaculum	none
tabula	none
tactus	none
taedium	none
talentum	none
taurus	none
tellus	none
telum	none
temeritas	none
temperantia	none
tempestas	none
templum	none
tempus1	none
tempus2	none
tenebra	none
tergum	none
terminus	none
terra	none
terror	none
testamentum	none
testis	none
testudo	none
thalamus	none
theatrum	none
tibia	none
tignum	none
timor	none
titulus	none
toga	none
tormentum	none
torus	none
trabs	none
tranquillitas	none
transfuga	none
transitus	none
tribunal	none
tribunus	none
tributum	none
tristitia	none
triumphus	none
truncus	none
tuba	none
tumultus	none
tumulus	none
tunica	none
turbo	none
turma	none
turris	none
tus	none
tutela	none
tympanum	none
tyrannus	none
uadum	none
ualetudo	none
ualles	none
uallum	none
uallus	none
uarietas	none
uates	none
uber	none
uectigal	none
uehiculum	none
uelocitas	none
uelum	none
uena	none
uenenum	none
uenia	none
uenter	none
uentus	none
uer	none
uerber	none
uerbum	none
uerecundia	none
ueritas	none
uersatio	none
uertex	none
uerum	none
uestibulum	none
uestigium	none
uestis	none
uetustas	none
uia	none
uicis	none
uictima	none
uictor	none
uictoria	none
uictus	none
uicus	none
uigilia	none
uigor	none
uilla	none
uinculum	none
uindex	none
uinum	none
uir	none
uirga	none
uirgo	none
uirtus	none
uis	none
uiscus	none
uisus	none
uita	none
uitis	none
uitium	none
ultimum	none
ultio	none
umbra	none
unda	none
unguis	none
uniuersum	none
uocabulum	none
uoluntas	none
uoluptas	none
uotum	none
uox	none
urbs	none
urna	none
usus	none
uterus	none
utilitas	none
uua	none
uulgus	singulare tantum
uulnus	none
uultus	none
uxor	none
